run,group,method,split,seed,stratum,n,pos,balanced_acc,sensitivity,specificity,auc
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,very_light,73,17,0.9527310924369747,0.9411764705882353,0.9642857142857143,0.9726890756302521
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,light,23,3,0.6666666666666666,0.3333333333333333,1.0,0.9166666666666666
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,intermediate,11,2,1.0,1.0,1.0,1.0
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,tan,8,1,0.9285714285714286,1.0,0.8571428571428571,1.0
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,brown,3,3,1.0,1.0,,
ablation-ours_no_mixstyle-indist-20260715-211926,ablation,ours_no_mixstyle,indist,42,dark,1,1,1.0,1.0,,
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,very_light,65,12,0.5,1.0,0.0,0.5
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,light,28,9,0.5,1.0,0.0,0.5
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,intermediate,16,3,0.5,1.0,0.0,0.5
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,tan,8,3,0.5,1.0,0.0,0.5
ablation-ours_no_lora-indist-20260715-213009,ablation,ours_no_lora,indist,42,brown,2,0,0.0,,0.0,
method-erm-indist-s1-20260715-213432,method,erm,indist,1,very_light,14,3,1.0,1.0,1.0,1.0
method-erm-indist-s1-20260715-213432,method,erm,indist,1,light,39,6,1.0,1.0,1.0,1.0
method-erm-indist-s1-20260715-213432,method,erm,indist,1,intermediate,23,4,0.6973684210526316,0.5,0.8947368421052632,0.8815789473684211
method-erm-indist-s1-20260715-213432,method,erm,indist,1,tan,27,6,0.9047619047619048,1.0,0.8095238095238095,0.9325396825396826
method-erm-indist-s1-20260715-213432,method,erm,indist,1,brown,14,7,1.0,1.0,1.0,1.0
method-erm-indist-s1-20260715-213432,method,erm,indist,1,dark,2,1,1.0,1.0,1.0,1.0
method-erm-indist-s2-20260715-214123,method,erm,indist,2,very_light,29,11,0.8156565656565656,0.9090909090909091,0.7222222222222222,0.9595959595959597
method-erm-indist-s2-20260715-214123,method,erm,indist,2,light,42,8,0.9117647058823529,1.0,0.8235294117647058,0.9558823529411764
method-erm-indist-s2-20260715-214123,method,erm,indist,2,intermediate,32,6,1.0,1.0,1.0,1.0
method-erm-indist-s2-20260715-214123,method,erm,indist,2,tan,15,2,0.9615384615384616,1.0,0.9230769230769231,1.0
method-erm-indist-s2-20260715-214123,method,erm,indist,2,brown,1,0,1.0,,1.0,
method-erm-0-s1-20260715-214912,method,erm,0,1,very_light,74,30,0.7454545454545455,0.9,0.5909090909090909,0.8727272727272727
method-erm-0-s1-20260715-214912,method,erm,0,1,light,98,32,0.7320075757575757,0.8125,0.6515151515151515,0.8025568181818181
method-erm-0-s1-20260715-214912,method,erm,0,1,intermediate,112,37,0.7846846846846847,0.7027027027027027,0.8666666666666667,0.8414414414414415
method-erm-0-s1-20260715-214912,method,erm,0,1,tan,107,24,0.6393072289156627,0.375,0.9036144578313253,0.7720883534136546
method-erm-0-s1-20260715-214912,method,erm,0,1,brown,58,20,0.7236842105263157,0.5,0.9473684210526315,0.868421052631579
method-erm-0-s1-20260715-214912,method,erm,0,1,dark,5,2,0.5,0.0,1.0,0.8333333333333334
method-erm-0-s2-20260715-215422,method,erm,0,2,very_light,42,22,0.7522727272727273,0.9545454545454546,0.55,0.9022727272727273
method-erm-0-s2-20260715-215422,method,erm,0,2,light,109,45,0.7560763888888888,0.7777777777777778,0.734375,0.8128472222222222
method-erm-0-s2-20260715-215422,method,erm,0,2,intermediate,137,43,0.7002721425037111,0.5813953488372093,0.8191489361702128,0.8142008906481939
method-erm-0-s2-20260715-215422,method,erm,0,2,tan,133,30,0.6847896440129451,0.4666666666666667,0.9029126213592233,0.8197411003236246
method-erm-0-s2-20260715-215422,method,erm,0,2,brown,33,5,0.7642857142857142,0.6,0.9285714285714286,0.9571428571428572
method-erm-1-s1-20260715-220011,method,erm,1,1,very_light,101,16,0.8768382352941176,0.8125,0.9411764705882353,0.9610294117647059
method-erm-1-s1-20260715-220011,method,erm,1,1,light,84,10,0.6229729729729729,0.3,0.9459459459459459,0.8635135135135135
method-erm-1-s1-20260715-220011,method,erm,1,1,intermediate,46,1,1.0,1.0,1.0,1.0
method-erm-1-s1-20260715-220011,method,erm,1,1,tan,4,0,1.0,,1.0,
method-erm-1-s2-20260715-221058,method,erm,1,2,very_light,82,17,0.7936651583710408,0.9411764705882353,0.6461538461538462,0.9475113122171945
method-erm-1-s2-20260715-221058,method,erm,1,2,light,73,7,0.6872294372294372,0.5714285714285714,0.803030303030303,0.9004329004329004
method-erm-1-s2-20260715-221058,method,erm,1,2,intermediate,57,3,0.8148148148148148,0.6666666666666666,0.9629629629629629,0.7901234567901234
method-erm-1-s2-20260715-221058,method,erm,1,2,tan,23,0,1.0,,1.0,
method-erm-2-s1-20260715-221633,method,erm,2,1,very_light,55,24,1.0,1.0,1.0,1.0
method-erm-2-s1-20260715-221633,method,erm,2,1,light,4,0,1.0,,1.0,
method-erm-2-s1-20260715-221633,method,erm,2,1,intermediate,5,2,1.0,1.0,1.0,1.0
method-erm-2-s1-20260715-221633,method,erm,2,1,tan,3,2,1.0,1.0,1.0,1.0
method-erm-2-s1-20260715-221633,method,erm,2,1,brown,1,0,1.0,,1.0,
method-erm-2-s1-20260715-221633,method,erm,2,1,dark,3,0,1.0,,1.0,
method-erm-2-s2-20260715-222521,method,erm,2,2,very_light,49,24,1.0,1.0,1.0,1.0
method-erm-2-s2-20260715-222521,method,erm,2,2,light,5,1,0.5,0.0,1.0,1.0
method-erm-2-s2-20260715-222521,method,erm,2,2,intermediate,4,0,1.0,,1.0,
method-erm-2-s2-20260715-222521,method,erm,2,2,tan,8,3,0.8333333333333333,0.6666666666666666,1.0,1.0
method-erm-2-s2-20260715-222521,method,erm,2,2,brown,2,0,1.0,,1.0,
method-erm-2-s2-20260715-222521,method,erm,2,2,dark,3,0,1.0,,1.0,
method-irm-indist-s1-20260715-223337,method,irm,indist,1,very_light,8,3,0.9,1.0,0.8,1.0
method-irm-indist-s1-20260715-223337,method,irm,indist,1,light,7,4,1.0,1.0,1.0,1.0
method-irm-indist-s1-20260715-223337,method,irm,indist,1,intermediate,23,0,0.9130434782608695,,0.9130434782608695,
method-irm-indist-s1-20260715-223337,method,irm,indist,1,tan,36,5,0.7516129032258064,0.6,0.9032258064516129,0.8580645161290322
method-irm-indist-s1-20260715-223337,method,irm,indist,1,brown,33,8,0.94,1.0,0.88,0.99
method-irm-indist-s1-20260715-223337,method,irm,indist,1,dark,12,7,0.9,1.0,0.8,1.0
method-irm-indist-s2-20260715-225952,method,irm,indist,2,very_light,14,7,1.0,1.0,1.0,1.0
method-irm-indist-s2-20260715-225952,method,irm,indist,2,light,29,6,0.894927536231884,0.8333333333333334,0.9565217391304348,0.9202898550724639
method-irm-indist-s2-20260715-225952,method,irm,indist,2,intermediate,42,6,0.7222222222222222,0.5,0.9444444444444444,0.9212962962962963
method-irm-indist-s2-20260715-225952,method,irm,indist,2,tan,30,8,1.0,1.0,1.0,1.0
method-irm-indist-s2-20260715-225952,method,irm,indist,2,brown,4,0,1.0,,1.0,
method-irm-0-s1-20260715-232411,method,irm,0,1,very_light,27,18,0.6666666666666666,1.0,0.3333333333333333,0.9135802469135802
method-irm-0-s1-20260715-232411,method,irm,0,1,light,67,21,0.7696687370600415,0.9523809523809523,0.5869565217391305,0.8519668737060041
method-irm-0-s1-20260715-232411,method,irm,0,1,intermediate,111,27,0.7275132275132274,0.7407407407407407,0.7142857142857143,0.7791005291005291
